TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-07-29,10847.5,17.784000000000002,82.93700000000001,-99.691,-123.09,,,,1.038,239.743,48.896,0.111,1.003,60.597,60.599,0.0,1003.177
2016-07-30,10943.5,16.595,73.149,-99.67299999999999,-119.978,,,,1.6280000000000001,293.149,27.423000000000002,0.19699999999999998,1.7730000000000001,92.33,92.337,0.0,1006.8539999999999
2016-07-31,11039.5,15.514000000000001,71.425,-99.58200000000001,-120.53299999999999,,,,1.4869999999999999,287.66700000000003,27.459,0.121,1.089,54.881,54.881,0.0,1009.802
2016-08-01,11135.5,15.592,79.003,-99.633,-125.685,,,,0.7170000000000001,218.33,56.33,0.14,1.262,63.071999999999996,63.071999999999996,0.019,1010.24
2016-08-02,11231.5,17.791,90.505,-100.37700000000001,-120.413,,,,0.503,145.895,57.67100000000001,0.085,0.762,39.411,39.411,0.012,1001.7919999999999
2016-08-03,11327.5,19.602,73.876,-99.74799999999999,-115.681,-3.695,-3.688,,1.176,240.13299999999998,66.553,0.205,1.8419999999999999,117.757,117.764,0.0,997.625
2016-08-04,11423.5,17.474,77.479,-100.21700000000001,-114.62200000000001,,,,1.635,267.185,43.38,0.168,1.5090000000000001,65.954,65.979,0.006,1000.49
2016-08-05,11519.5,17.552,72.149,-99.59899999999999,-118.36399999999999,,,,1.4069999999999998,274.789,35.193000000000005,0.193,1.7380000000000002,92.094,92.095,0.0,1011.8539999999999
2016-08-06,11615.5,19.762,67.568,-98.573,-119.81200000000001,,,,1.064,261.86400000000003,52.727,0.23600000000000002,2.124,134.74,134.74,0.0,1018.0939999999999
2016-08-07,11711.5,20.645,67.601,-98.28399999999999,-116.30799999999999,,,,1.5219999999999998,254.489,56.589,0.261,2.346,142.204,142.265,0.0,1013.76
2016-08-08,11807.5,16.34,60.707,-100.046,-116.869,,,,2.381,283.592,31.401999999999997,0.213,1.921,101.575,101.823,0.0,1013.562
2016-08-09,11903.5,14.252,70.013,-102.36,-123.859,,,,2.0540000000000003,290.633,27.767,0.192,1.733,81.542,81.619,0.0,1018.0210000000001
2016-08-10,11999.5,14.822000000000001,74.932,-102.089,-120.126,,,,1.444,282.904,33.437,0.18100000000000002,1.6340000000000001,85.035,85.035,0.002,1017.2710000000001
2016-08-11,12095.5,16.459,83.595,-103.897,-127.117,,,,2.005,279.941,31.926,0.12300000000000001,1.11,60.806000000000004,60.916000000000004,0.025,1013.938
2016-08-12,12191.5,19.787,68.777,-101.24700000000001,-112.26100000000001,,-3.7030000000000003,,1.771,273.103,39.289,0.253,2.274,140.545,140.595,0.0,1014.688
2016-08-13,12287.5,17.980999999999998,69.938,-100.369,-120.75399999999999,,,,1.6059999999999999,278.108,39.961999999999996,0.18100000000000002,1.629,91.005,91.041,0.002,1014.573
2016-08-14,12383.5,17.144000000000002,71.543,-99.446,-128.594,,,,1.032,285.197,30.608,0.125,1.126,60.277,60.277,0.0,1018.74
2016-08-15,12479.5,17.276,70.46300000000001,-98.936,-118.17299999999999,,,,0.588,154.657,46.648,0.215,1.936,103.367,103.367,0.0,1018.052
2016-08-16,12575.5,17.204,72.779,-99.16799999999999,-116.295,,,,0.758,117.471,39.797,0.22,1.9780000000000002,105.384,105.384,0.0,1013.5
2016-08-17,12671.5,17.742,73.219,-98.605,-114.444,,,,0.7809999999999999,121.603,40.395,0.215,1.9380000000000002,104.85799999999999,104.85799999999999,0.0,1007.7919999999999
2016-08-18,12767.5,18.726,73.804,-98.666,-125.648,,,,0.897,102.059,39.979,0.166,1.499,85.677,85.677,0.0,1004.375
2016-08-19,12863.5,16.624000000000002,89.521,-99.779,-123.728,,,,0.607,116.181,52.097,0.067,0.601,6.097,6.097,0.067,998.4789999999999
2016-08-20,12959.5,16.660999999999998,83.029,-100.699,-124.874,,,,1.018,174.312,79.468,0.151,1.359,64.844,64.85300000000001,0.028999999999999998,995.125
2016-08-21,13055.5,17.569000000000003,81.797,-101.631,-121.566,,,,1.548,251.993,50.583999999999996,0.16699999999999998,1.508,89.53399999999999,89.568,0.05,1005.9689999999999
2016-08-22,13151.5,19.998,85.14299999999999,-102.866,-119.206,-3.6919999999999997,-3.6910000000000003,,0.953,239.02200000000002,73.812,0.12300000000000001,1.107,67.517,67.51899999999999,0.008,1013.2189999999999
2016-08-23,13247.5,23.058000000000003,68.252,-99.37799999999999,-113.87200000000001,-3.695,-3.695,,0.461,115.43799999999999,56.808,0.198,1.7830000000000001,108.014,108.014,0.0,1014.7810000000001
2016-08-24,13343.5,20.918000000000003,73.518,-99.059,-114.691,-3.7030000000000003,-3.699,,1.022,226.513,42.217,0.18600000000000003,1.6769999999999998,97.512,97.512,0.004,1012.1039999999999
2016-08-25,13439.5,17.715999999999998,92.53,-100.97200000000001,-116.307,,,,0.795,148.87,41.553999999999995,0.048,0.436,20.95,20.95,0.098,1009.635
2016-08-26,13535.5,17.377,76.756,-101.82799999999999,-120.45200000000001,,,,0.9790000000000001,251.17700000000002,37.055,0.19899999999999998,1.791,99.152,99.154,0.008,1010.76
2016-08-27,13631.5,14.604000000000001,89.596,-102.32600000000001,-128.64,,,,0.706,135.602,38.571,0.087,0.787,31.938000000000002,31.938000000000002,0.127,1010.625
2016-08-28,13727.5,18.256,83.421,-103.705,-122.213,-3.696,-3.69,,0.816,193.299,48.191,0.138,1.2409999999999999,75.027,75.027,0.004,1005.3330000000001
